Chunk 21 sent to API:
ID000 神臂弓
ID001 和弓
ID002 骑兵弩
ID003 超长枪
ID004 角弓
ID005 高丽弓
ID006 武士刀
ID007 薙刀
ID008 双手巨剑
ID009 朴刀
ID010 投石索
ID011 强制换装
ID012 角弓
ID013 钉锤
ID014 短剑
ID015 骨朵
ID016 陌刀
ID017 标枪
ID018 匕首
ID019 手弩
ID020 铲子
ID021 短柄斧
ID022 石头
ID023 单刀
ID024 短矛
ID025 强制换装
ID026 小圆盾
ID027 塔盾
ID028 塔盾
ID029 圆盾
ID030 维京圆盾
ID031 器形盾
ID032 筝形盾
ID033 扇形盾
ID034 椭圆盾
ID035 旁牌
ID036 旁牌
ID037 已选择
ID038 冲锋
ID039 负重
ID040 追猎
ID041 掩护
ID042 繁育战马
ID043 旋风砲
ID044 披甲战象
ID045 箭塔
ID046 训练强度:Ⅰ
ID047 训练强度:Ⅱ
ID048 训练强度:Ⅲ
ID049 戒严

