Chunk 17 sent to API:
ID000 拉丁骑兵
ID001 这些非东正教的骑兵战士经过长期训练逐渐适应了与成群的突厥骑兵作战，他们是无畏的草原奔袭者。
ID002 锐骑兵
ID003 经过长期的训练，我们的骑兵个个都是战场多面手。
ID004 飞骑
ID005 熟练使用一切马上武器，破阵只在瞬息之间。
ID006 鲜卑铁骑
ID007 鲜卑传统之一，自北魏孝文帝起，历任统治者都会悉心组建重装骑兵部队以震慑周边宵小。
ID008 鲜卑具装骑兵
ID009 人马具甲的鲜卑武士，杀人技艺深深的刻入了他们的骨子里。
ID010 盾女
ID011 这些女性违背其社会的常态，与其他战士一样组成盾墙参与战斗。
ID012 波罗的战士
ID013 世代的森林沼地生活催生了波罗的人民的剽悍风气，他们结伴而行不停扫荡着这片区域。
ID014 波罗的战士
ID015 活跃于波罗的海沿岸森林沼地的彪悍战士，借助森林与雪色发动突袭。
ID016 法兰克封建制
ID017 查理曼大帝及其先辈为我们打造了优越的封建社会体系，我们的王国稳定而强大，并且这种优势将一直延续下去。
ID018 斯卡拉骑兵
ID019 他们是加洛林王朝的王牌骑兵部队，常被用来执行需要高机动性作战的任务。
ID020 加洛林铁卫
ID021 他们是王公贵族派到领地各处的亲信之人，平日里负责片区治安，战时则充当精锐步兵抗线冲锋。
ID022 骑士之花
ID023 每一名骑士都是法兰西人民的骄傲。
ID024 该[culture|E]的角色建造#V $一级军团训练场$#!时速度更快，强度更高，且建造完成后将获得少许[prestige_i][prestige|E]
ID025 谢瓦利埃
ID026 骄傲的法兰西人民有骄傲的法兰西骑兵。
ID027 剑盾士
ID028 全副武装的步兵集群，手中的坚盾使其免于流矢之威胁。
ID029 钩斧
ID030 我们开发的这种新式长杆兵器可以很好的克制无甲单位和骑兵。
ID031 钩斧手
ID032 我们的步兵列装了新式钩斧，可以很好的克制无甲单位和骑兵。
ID033 弩骑兵
ID034 弩骑兵
ID035 我们的社会形态注定了我们无法拥有大量的优质弓骑兵，但弩骑兵或许是个不错的选择。
ID036 武功歌
ID037 我们的骑士拥有无可匹敌的坚定信念，我们的人民亦将长久传颂他们的伟大事迹。
ID038 重装枪骑兵
ID039 重装枪骑兵的集团冲锋无人可挡，即便是最坚固的战阵也将顷刻间化为飞灰。
ID040 步行封建骑士
ID041 在那些无法投入骑兵的战场上，依旧有我们无畏的骑士在顽强战斗。
ID042 轻装枪骑兵
ID043 来自勃艮第的轻装枪骑兵，兼具爆发力与机动性，是绝佳的侧翼突袭部队。
ID044 法郎弓手
ID045 每个教区应从擅长使用武器的人中选出一名弓箭手，他将免于税务，在星期天和节日里练习弓箭，并在有需要时准备上战场。
ID046 法郎弓手
ID047 用于防卫边境的弓箭手，他们无需缴税，但必须上战场。
ID048 民会
ID049 沃希那散兵

